Body;Body_new;Tag
Mình ở phòng Suite 2 đêm, rất rộng, điểm mình thấy ổn nhất đó là view biển cực đẹp, tiện nghi đều rất tốt, ăn sáng khá nhiều món. ăn tạm, nhân viên bảo vệ chỉ hướng xe oto rất nhiệt tình. Điểm chê thì khá nhiều, đầu tiên là nhân viên làm thủ tục cảm thấy hơi rườm rà dù đã in sẵn ngày hôm đó có ai checkin, cái này mình nghỉ có thể tối ưu hoá thêm, điểm thứ 2 là nước chảy yếu, nước nóng chậm, mèn ơi mền bật bồn tắm cho mấy nhóc mà 30p mới cao chưa đc 20cm, cái này sau 2 ngày đó mình có ở FLC thì nước mạnh và rất nhanh, chỉ tầm 5p là xong. Nhìn chung mình thấy vẫn ok nhưng buồn nhất là nước để mấy nhóc đợi lâu.;Mình ở phòng Suite 2 đêm, rất rộng, điểm mình thấy ổn nhất đó là view biển cực đẹp, tiện nghi đều rất tốt, ăn sáng khá nhiều món. ăn tạm, nhân viên bảo vệ chỉ hướng xe oto rất nhiệt tình.;Positive
Gia đình mình năm nào cũng ra đây ở 2 lần. Khoảng 1 tuần , giá cả hợp lý . Phục vụ ăn uống tốt. Các bạn nhân viên thì dễ thương chuyên nghiệp, khu vực ở cùng các tiện ích rất gần. Rất thoải mái,;Gia đình mình năm nào cũng ra đây ở 2 lần. Khoảng 1 tuần , giá cả hợp lý . Phục vụ ăn uống tốt. Các bạn nhân viên thì dễ thương chuyên nghiệp, khu vực ở cùng các tiện ích rất gần. Rất thoải mái,;Positive
Mường thanh nha trang thật sự ko xứng so với giá tiền. -Bể bơi view cực kì chán,ko sục nước ấm cho trẻ nhỏ. -Phòng thì tối om. -NV không chào hỏi nhiệt tình Ở vinpearl đúng là giá tiền nó khác thì những dịch vụ kèm theo ok hơn thì không nói làm gì. Nhưng việc đào tạo nhân viên tươi cười nhiệt tình với KH thì 1 khách sạn bình dân còn có thể làm đc hơn hệ thống ks Mường Thanh .;Mường thanh nha trang thật sự ko xứng so với giá tiền. -Bể bơi view cực kì chán,ko sục nước ấm cho trẻ nhỏ. -Phòng thì tối om. -NV không chào hỏi nhiệt tình Ở vinpearl đúng là giá tiền nó khác thì những dịch vụ kèm theo ok hơn thì không nói làm gì.;Negative
Khách sạn đẹp, nhiều tiện ích, vị trí đẹp, phòng ở sạch sẽ. Điểm trừ duy nhất là dễ bị kẹt tháng máy.;Khách sạn đẹp, nhiều tiện ích, vị trí đẹp, phòng ở sạch sẽ. Điểm trừ duy nhất là dễ bị kẹt tháng máy.;Positive
Nhân viên Duy bell boy rất nhiệt tình, lịch sự, lễ phép. Tuy nhiên phòng tắm cần đèn trắng sáng hơn và vòi hoa sen nên lắp ráp sửa đổi cho nước chảy dốc vào bồn tắm. Vì vòi hoa sen đứng thẳng nên nước tràn đầy xuống sàn ngay cửa phòng tắm rất nguy hiểm dễ bị trơn té bị thương.;Nhân viên Duy bell boy rất nhiệt tình, lịch sự, lễ phép. Tuy nhiên phòng tắm cần đèn trắng sáng hơn và vòi hoa sen nên lắp ráp sửa đổi cho nước chảy dốc vào bồn tắm.;Neutral
Khách sạn trung tâm, gần chợ đêm, quảng trường, 3 bước sang biển. Cực tiện luôn ạ. Nhân viên khách sạn ngoan và nhẹ nhàng. Phòng rộng, sạch sẽ, rất ổn;Khách sạn trung tâm, gần chợ đêm, quảng trường, 3 bước sang biển. Cực tiện luôn ạ. Nhân viên khách sạn ngoan và nhẹ nhàng. Phòng rộng, sạch sẽ, rất ổn;Positive
Khách sạn tốt ok, bữa ăn sáng ngon. Nhân viên lễ tân và phục vụ rất nhiệt tình và dễ thương. Vị trí tiện lợi. Tuy nhiên chúng tôi góp ý 1 chút vấn đề nhỏ là khách sạn cần bổ sung thêm dầu xả vì nước biển mặn dễ làm tóc khô, dầu gội ko làm mượt tóc.;Khách sạn tốt ok, bữa ăn sáng ngon. Nhân viên lễ tân và phục vụ rất nhiệt tình và dễ thương. Vị trí tiện lợi. Tuy nhiên chúng tôi góp ý 1 chút vấn đề nhỏ là khách sạn cần bổ sung thêm dầu xả vì nước biển mặn dễ làm tóc khô, dầu gội ko làm mượt tóc.;Positive
Giá phòng có thay đổi so với agoda báo giá,cụ thể:phụ thu thêm 1 bé 10t là 250 và k phát sinh gì(này là bên agoda báo vậy)đến nhận phòng thì ks phụ thu thêm 150k tiền phòng của bé(này bên agoda k báo trước) Nhận phòng thấy máy lạnh chạy k tốt(nóng)báo nv có lên kiểm tra và nói do khách chỉnh sai chế độ,nv có chỉnh lại mấy tiếng sau vẫn nóng,báo thêm lần nữa thì lâu lắm k thấy ai lên kiểm tra. Cả nhà mình đi ra ngoài ghé lễ tân báo thêm lần nữa và lúc quay về được cho đổi phòng khác,k hài lòng khoản này. Thân ái🙂;Giá phòng có thay đổi so với agoda báo giá,cụ thể:phụ thu thêm 1 bé 10t là 250 và k phát sinh gì(này là bên agoda báo vậy)đến nhận phòng thì ks phụ thu thêm 150k tiền phòng của bé(này bên agoda k báo trước) Nhận phòng thấy máy lạnh chạy k tốt(nóng)báo nv có lên kiểm tra và nói;Negative
Tôi và gia đình rất thoải mái khi ở nơi này , lần sau tôi vẫn sẽ chọn Mường Thanh;Tôi và gia đình rất thoải mái khi ở nơi này , lần sau tôi vẫn sẽ chọn Mường Thanh;Positive
Khi ở KS, tôi được phục vụ chu đáo, đầy đủ tiện nghi, phòng ốc sạch sẽ. Tuy chỉ có điện là hơi tối!;Khi ở KS, tôi được phục vụ chu đáo, đầy đủ tiện nghi, phòng ốc sạch sẽ. Tuy chỉ có điện là hơi tối!;Neutral
Khách sạn đẹp ngày trung tâm, sát bờ biển, di chuyển đến các điểm vui chơi thuận tiện, phòng nghỉ rộng rãi, sạch sẽ, được lau dọn hàng ngày;Khách sạn đẹp ngày trung tâm, sát bờ biển, di chuyển đến các điểm vui chơi thuận tiện, phòng nghỉ rộng rãi, sạch sẽ, được lau dọn hàng ngày;Positive
Đặt 5 phòng với 4 code thanh toán trước từ ngày 4/7 để nhận phòng vào ngày 11/7, đã gọi trước báo sẽ đến trễ vậy mà đến 21h chúng tôi đến báo chỉ có 3p , đưa mã code mã tham chiếu booking đầy đủ vẫn báo không có. Đoàn có 5 người lớn tuổi trên 70 mà để ngồi chờ hơn 22h đêm mới có phòng. Sáng thì lượng khách đông , cà phê không có , thức ăn không châm thêm. Đã từng nghỉ qua ở hộ thống mường thanh : cthơ , đà lạt , buôn mê thuộc , đà nẳng .... chưa thấy quản lý nào tệ vậy. Quá thất vọng.;Đặt 5 phòng với 4 code thanh toán trước từ ngày 4/7 để nhận phòng vào ngày 11/7, đã gọi trước báo sẽ đến trễ vậy mà đến 21h chúng tôi đến báo chỉ có 3p , đưa mã code mã tham chiếu booking đầy đủ vẫn báo không có.;Negative
Vợ chồng mình ở đây 2 đêm và rất hài lòng về khách sạn. MT này nằm ở vị trí đắc địa, ngay trước biển và ngay khu phố trung tâm, nhộn nhịp và dễ đi lại. Về phòng ốc thì mình ở phòng view thành phố nhưng do săn đc giá tốt nên cũng rất hài lòng. Phòng sạch sẽ, tiện nghi và thoải mái, đặc biệt rất là thích ghế sofa để relax trong phòng. Nhân viên thật sự chu đáo và nhẹ nhàng. Dù không phải là khách sạn cực hiện đại và lộng lẫy nhưng xét về tổng thể với ks 4 sao thì rất hài lòng!;Vợ chồng mình ở đây 2 đêm và rất hài lòng về khách sạn. MT này nằm ở vị trí đắc địa, ngay trước biển và ngay khu phố trung tâm, nhộn nhịp và dễ đi lại. Về phòng ốc thì mình ở phòng view thành phố nhưng do săn đc giá tốt nên cũng rất hài lòng.;Positive
Nhân viên phục vụ tên Phương rất dễ thương,nc nhẹ nhàng với bé nhỏ nhà mình. Vị trí cực kỳ đẹp,view biển phải nói là xuất sắc. Ăn sáng tạm được,ít món,đa số toàn dân trung quốc lấy món rất mất vệ sinh và cực kỳ ồn ào,bất lịch sự,chắc do đặc điểm Nha Trang nhiều khách tquoc.;Nhân viên phục vụ tên Phương rất dễ thương,nc nhẹ nhàng với bé nhỏ nhà mình. Vị trí cực kỳ đẹp,view biển phải nói là xuất sắc. Ăn sáng tạm được,ít món,đa số toàn dân trung quốc lấy món rất mất vệ sinh và cực kỳ ồn ào,bất lịch sự,chắc do đặc điểm Nha Trang nhiều khách tquoc.;Neutral
Địa điểm thuận lợi, ngay sát bờ biển, view biển rất đẹp. Đoàn mình có 1 phòng được nâng hạng phòng nên mình rất ưng ý. Có một điểm trừ nhỏ là bể bơi cá nhân mình thấy không được sạch lắm và mình đi đầu tháng 5 nên nước bể bơi lạnh. Tuy nhiên đi biển mà, nên cũng ko cần sài bể bơi nhiều => có thể bỏ qua yêu tố này. Còn lại mình rất hài lòng.;Địa điểm thuận lợi, ngay sát bờ biển, view biển rất đẹp. Đoàn mình có 1 phòng được nâng hạng phòng nên mình rất ưng ý. Có một điểm trừ nhỏ là bể bơi cá nhân mình thấy không được sạch lắm và mình đi đầu tháng 5 nên nước bể bơi lạnh.;Positive
Mình đặt qua app giá khá tốt Mường thanh phục vụ rất tốt từ thái độ nhân viên dịch vụ đến chất lượng thức ăn Sẽ ghé lại;Mình đặt qua app giá khá tốt Mường thanh phục vụ rất tốt từ thái độ nhân viên dịch vụ đến chất lượng thức ăn Sẽ ghé lại;Positive
Khách sạn ở trung tâm, nhân viên thân thiện, nhiệt tình. Vệ sinh phòng sạch sẽ. Điểm trừ: Đồ ăn sáng nghèo nàn, ít món, không ngon. Cách bài trí phòng khô khan.;Khách sạn ở trung tâm, nhân viên thân thiện, nhiệt tình. Vệ sinh phòng sạch sẽ. Điểm trừ: Đồ ăn sáng nghèo nàn, ít món, không ngon. Cách bài trí phòng khô khan.;Neutral
Vị trí đẹp, phòng cách âm tốt, vệ sinh sạch sẽ, các bạn nhân viên ở sảnh rất nhiệt tình. Điều hoà hơi ồn 1 chút , nước nóng trong nhà vệ sinh hơi to, nên k chú ý rất dễ bị bỏng.;Vị trí đẹp, phòng cách âm tốt, vệ sinh sạch sẽ, các bạn nhân viên ở sảnh rất nhiệt tình. Điều hoà hơi ồn 1 chút , nước nóng trong nhà vệ sinh hơi to, nên k chú ý rất dễ bị bỏng.;Neutral
Khách sạn vị trí rất đẹp. Nhân viên lễ tân rất nhiệt tình và dể thương ( bạn Gái đeo mắt kính tên Ngân Tuyền) Tiện nghi chưa đầy đủ hơi cũ.;Khách sạn vị trí rất đẹp. Nhân viên lễ tân rất nhiệt tình và dể thương ( bạn Gái đeo mắt kính tên Ngân Tuyền) Tiện nghi chưa đầy đủ hơi cũ.;Positive
Ks vị trí cực đẹp, đi bộ ra biển ra chợ đêm. Phòng cực đẹp, sạch sẽ rộng rãi decor hiện đại rất thích Cách âm tốt, ăn sáng ngon, nv thân thiện nhiệt tình, gặp mình đều chào rất chuyên nghiệp Bãi đỗ xe hơi rất lớn, thoải mái;Ks vị trí cực đẹp, đi bộ ra biển ra chợ đêm. Phòng cực đẹp, sạch sẽ rộng rãi decor hiện đại rất thích Cách âm tốt, ăn sáng ngon, nv thân thiện nhiệt tình, gặp mình đều chào rất chuyên nghiệp Bãi đỗ xe hơi rất lớn, thoải mái;Positive
Khách sạn có vị trí tốt, ngay trung tâm thành phố và có bãi biển riêng. Đi công tác hay đi nghỉ dưỡng đều phù hợp. Nội thất tuy ko được mới nhưng nhìn chung dịch vụ rất ổn. Nhân viên Buồng và lễ tân rất lễ phép. Tôi luôn có cảm giác được Chào đón. Bạn Hiền lễ tân tư vấn phòng nhiệt tình, dẫn tôi đi xem nhiều loại phòng và giúp tôi đặt phòng với giá tốt. Cảm ơn các bạn rất nhiều vì kì nghỉ này.;Khách sạn có vị trí tốt, ngay trung tâm thành phố và có bãi biển riêng. Đi công tác hay đi nghỉ dưỡng đều phù hợp. Nội thất tuy ko được mới nhưng nhìn chung dịch vụ rất ổn. Nhân viên Buồng và lễ tân rất lễ phép. Tôi luôn có cảm giác được Chào đón.;Positive
Khách sạn nằm dọc đường biển rất đẹp, phòng tôi ở hướng biển, thật tuyệt, nhân viên rất nhẹ nhàng, thân thiện, tôi rất thích.;Khách sạn nằm dọc đường biển rất đẹp, phòng tôi ở hướng biển, thật tuyệt, nhân viên rất nhẹ nhàng, thân thiện, tôi rất thích.;Positive
Tôi rất hài lòng về dịch vụ khách sạn. Phòng ok, giá phòng hợp lý với ăn sáng. Nhân viên rất nhiệt tình khi tôi đặt phòng là có phòng nhận nghĩ ngơi. Tuy ở 1 đêm nhưng rất cảm ơn bạn Hồng đã nhớ ngày sinh nhật của tôi chúc mừng vào buổi sáng khi gia đình tôi dùng bữa sáng. Nhất định sẽ quay lại lần sau;Tôi rất hài lòng về dịch vụ khách sạn. Phòng ok, giá phòng hợp lý với ăn sáng. Nhân viên rất nhiệt tình khi tôi đặt phòng là có phòng nhận nghĩ ngơi.;Positive
Khách sạn đẹp sạch sẽ, nhân viên nhiệt tình, đồ ăn ngon, Khách sạn ngay trung tâm đối diện với Biển dễ dàng đi chuyến;Khách sạn đẹp sạch sẽ, nhân viên nhiệt tình, đồ ăn ngon, Khách sạn ngay trung tâm đối diện với Biển dễ dàng đi chuyến;Positive
Máy lạnh sảnh và máy lạnh phòng ăn bị hư (nghe nói thời gian dài). Dùng 1 - 2 quạt hơi nước không đủ mát. Cá nhân thấy rất nóng. Nếu không sửa lại hệ thống máy lạnh thì chắc chắc tôi sẽ không chọn khách sạn này;Máy lạnh sảnh và máy lạnh phòng ăn bị hư (nghe nói thời gian dài). Dùng 1 - 2 quạt hơi nước không đủ mát. Cá nhân thấy rất nóng. Nếu không sửa lại hệ thống máy lạnh thì chắc chắc tôi sẽ không chọn khách sạn này;Negative
Ưu điểm: vị trí trung tâm, tiện đi lại. Dịch vụ tốt, nhân viên vui vẻ, thân thiện với khách hàng. Nhước điểm: không có bàn ủi trong phòng nên hơi bất tiện với quần áo bị nhăn. Và lối vào sảnh khách sạn có khá nhiều những người chạy xích lô chào mời rất nhiều, thậm chí rất nhiệt tình nên làm cho bản thân mình cũng như gia đình của mình rất ái ngại.;Ưu điểm: vị trí trung tâm, tiện đi lại. Dịch vụ tốt, nhân viên vui vẻ, thân thiện với khách hàng. Nhước điểm: không có bàn ủi trong phòng nên hơi bất tiện với quần áo bị nhăn.;Neutral
Phong sạch se tiện nghi , phu hop gia tien. nhưng do xây lâu rôi nên hoi cu, đat view biên nhung c nhìn dc 1 góc xiu goi la có view. Thủ tục do m đi vao mua hè đông nên còn xu lý check in hơi lâu còn lại thi các bạn nv pvuc nhiet tinh ok;Phong sạch se tiện nghi , phu hop gia tien. nhưng do xây lâu rôi nên hoi cu, đat view biên nhung c nhìn dc 1 góc xiu goi la có view. Thủ tục do m đi vao mua hè đông nên còn xu lý check in hơi lâu còn lại thi các bạn nv pvuc nhiet tinh ok;Neutral
Đặt phòng gđ 2 ngày gồm 3 ng lớn 1 trẻ em mà đến nơi bị phụ thu thêm cho trẻ em. đặt thêm 1 ngày sau đó thì không bị phụ thu;Đặt phòng gđ 2 ngày gồm 3 ng lớn 1 trẻ em mà đến nơi bị phụ thu thêm cho trẻ em. đặt thêm 1 ngày sau đó thì không bị phụ thu;Neutral
Thang máy thường xuyên tắc trong giờ sáng, tôi phải chờ 10 phút mới xuống được sảnh, thang rất bí. Bể bơi bẩn, toàn hóa chất. Bù lại vị trí đẹp, gần biển. Sẽ quay lại nếu cải thiện chất lượng .;Thang máy thường xuyên tắc trong giờ sáng, tôi phải chờ 10 phút mới xuống được sảnh, thang rất bí. Bể bơi bẩn, toàn hóa chất. Bù lại vị trí đẹp, gần biển. Sẽ quay lại nếu cải thiện chất lượng .;Negative
Bao nhiêu năm vẫn ko phát triển hơn, phòng thì cũ không tân trang, thang máy thì chậm ko có điều hoà,;Bao nhiêu năm vẫn ko phát triển hơn, phòng thì cũ không tân trang, thang máy thì chậm ko có điều hoà,;Negative
Vị trí khách sạn đẹp, phòng rộng, sạch. Nhưng hồ bơi cần nâng cấp để nước sạch và xứng tầm khách sạn.;Vị trí khách sạn đẹp, phòng rộng, sạch. Nhưng hồ bơi cần nâng cấp để nước sạch và xứng tầm khách sạn.;Neutral
Mình thường ở hệ thống khách sạn Mường Thanh khi du lịch vì phòng ốc rộng rãi, địa điểm thuận lợi, giá cả ok, nhân viên thân thiện và chuyên nghiệp.;Mình thường ở hệ thống khách sạn Mường Thanh khi du lịch vì phòng ốc rộng rãi, địa điểm thuận lợi, giá cả ok, nhân viên thân thiện và chuyên nghiệp.;Positive
phòng ok, vị trí đẹp, bữa sáng tạm ổn, cái không hài lòng là sảnh đón tiếp, thang máy và hành lang các phòng đều tắt máy lạnh, quá nóng bức với thời tiết mùa hè. Sảnh khách sạn 5 sao mà nóng hơn cái phòng trọ;phòng ok, vị trí đẹp, bữa sáng tạm ổn, cái không hài lòng là sảnh đón tiếp, thang máy và hành lang các phòng đều tắt máy lạnh, quá nóng bức với thời tiết mùa hè. Sảnh khách sạn 5 sao mà nóng hơn cái phòng trọ;Negative
Khách sạn ở vị trí trung tâm ., di chuyển rất thuận tiện . Đồ ăn sáng phong phú . Tôi vs gia đình rất hài lòng .;Khách sạn ở vị trí trung tâm ., di chuyển rất thuận tiện . Đồ ăn sáng phong phú . Tôi vs gia đình rất hài lòng .;Positive
Đề nghị ktra tat cả tiện nghi phòng trước khi khách vào, khi vào toalet ko sử dụng được, phải gọi kĩ thuật lên sửa, mất thời gian;Đề nghị ktra tat cả tiện nghi phòng trước khi khách vào, khi vào toalet ko sử dụng được, phải gọi kĩ thuật lên sửa, mất thời gian;Negative
Vị trí đẹp, đồ ăn sáng khá ngon, phòng sạch sẽ, rộng rãi, nhân viên thân thiện;Vị trí đẹp, đồ ăn sáng khá ngon, phòng sạch sẽ, rộng rãi, nhân viên thân thiện;Positive
Phòng đẹp rộng rãi, địa điểm trung tâm rất tiện, đã từng ở và quay lại khi cho nhân viên đi du lịch nhưng lần này thất vọng vì ăn sáng ngày càng quá tệ, nấu món nước kiểu như có lệ, đồ ăn sáng hầu như quá dở và cả nhóm đều chê. Spa lớn nhưng gội đầu yêu cầu sấy và ép tóc thẳng cũng ko có, chỉ gội sấy khô thôi!;Phòng đẹp rộng rãi, địa điểm trung tâm rất tiện, đã từng ở và quay lại khi cho nhân viên đi du lịch nhưng lần này thất vọng vì ăn sáng ngày càng quá tệ, nấu món nước kiểu như có lệ, đồ ăn sáng hầu như quá dở và cả nhóm đều chê.;Negative
Vị trí thuận tiện, sag đg là biển, phòng rộng rãi, sạch sẽ, dịch vụ tốt. Sẽ quay lại;Vị trí thuận tiện, sag đg là biển, phòng rộng rãi, sạch sẽ, dịch vụ tốt. Sẽ quay lại;Positive
Nhiều lần mình ở đây rồi, rất hài lòng , bạn Hiếu Lễ tân và bạn Phước nhiệt tình hỗ trợ.;Nhiều lần mình ở đây rồi, rất hài lòng , bạn Hiếu Lễ tân và bạn Phước nhiệt tình hỗ trợ.;Positive
Lần 2 trở lại khách sạn. Rất tốt và tiện nghi. Lần này trở lại rất ấn tượng với bạn Ngân Tuyền có nụ cười xinh khi giúp tôi nhận phòng và hỗ trợ dịch vụ phòng nghĩ. Và địa điểm bạn giới thiệu cho tôi ăn rất ngon và hợp lý. Nhất định sẽ quay lại và hi vọng được gặp lại bạn ☺️;Lần 2 trở lại khách sạn. Rất tốt và tiện nghi. Lần này trở lại rất ấn tượng với bạn Ngân Tuyền có nụ cười xinh khi giúp tôi nhận phòng và hỗ trợ dịch vụ phòng nghĩ. Và địa điểm bạn giới thiệu cho tôi ăn rất ngon và hợp lý.;Positive
vị trí trung tâm gần Tháp Trầm Hương, bãi biển phía trước tuyệt đẹp, rất tiện lợi đi các điểm tham quan và quán ăn ngon;vị trí trung tâm gần Tháp Trầm Hương, bãi biển phía trước tuyệt đẹp, rất tiện lợi đi các điểm tham quan và quán ăn ngon;Positive
